Course,Respondents (%),Employed (%),Employed and Pursuing Further Studies (%),Pursuing Further Studies (Full time) (%),Resigned from Work (%),    Unemployed – Can’t Find Work (%),    Unemployed – By Choice/On Vacation (%),Voluntary Religious or Military Service (%),Total (%),,Employed (#),Employed and Pursuing Further Studies (#),Pursuing Further Studies (Full time) (#),Resigned from Work (#),    Unemployed – Can’t Find Work (#),    Unemployed – By Choice/On Vacation (#),Voluntary Religious or Military Service (#),,Respondents (%),0 (%),1 (%),2 (%),3 (%),4 (%),5 (%),6 (%),7 (%),8 (%),9 (%),10 (%),11 (%),12 (%),13 (%),14 (%),15 (%),16 (%),17 (%),18 (%),19 (%),20 (%),21 (%),22 (%),23 (%),24 (%),Total  (%),,0 (#),1 (#),2 (#),3 (#),4 (#),5 (#),6 (#),7 (#),8 (#),9 (#),10 (#),11 (#),12 (#),13 (#),14 (#),15 (#),16 (#),17 (#),18 (#),19 (#),20 (#),21 (#),22 (#),23 (#),24 (#),,Respondents (%),Academe/Universities (%),Accounting/ Auditing (%),Advertising and PR (%),"Agriculture and forestry, fishing (%)",Airlines (%),"Arts (Photography, Theater, etc) (%)",Automotives / Cars (%),Banking / Investment (%),BPO (%),Building and Construction Trade (%),Call Center (%),Church / Ministry (%),Computer and I.T. (%),Consultancy (except Marketing Consultancy) (%),Corporate Foundation (%),Development (%),E-commerce (%),Energy/ Oil / Petrochemicals (%),Events Management (%),Family Business (%),Fashion/Clothing/RTW (%),Finance (%),"Food, semi-luxury food, and beverage industry (%)",Gaming and Casino (%),Government/ Gen. Public Administration (%),Hotel/Restaurant (%),Housing (%),"HR (Executive Search, HR Consultancy) (%)",Insurance (%),International Organizations (%),Law/Legal (%),Mall Management (%),Manufacturing - Beauty and Cosmetics (%),Manufacturing - Consumer Goods (%),Manufacturing - Pharmaceuticals (%),Maritime (%),Marketing Consultancy (%),Media - Film/TV (%),Media - Online (%),Media - Print / Publishing (%),Media - Radio (%),Medicine/Health System (%),NGO (%),Own Business (Entrepreneurship) (%),Plastics/rubber/asbestos manufacturing (%),"Precision mechanics, optics, toy industry and jewellry (%)",Product Development (%),Professional - Entertainment/Music/Showbiz (%),Professional - Sports / Sports and Recreation (%),Real Estate (%),Research (%),Shipping / Logistics (%),Supply Chain (%),Telecommunications (%),Trade (wholesale trade and retail trade) (%),"Trade and commercial associations, parties (%)",Transport (%),Travel (%),Utilities (%),Others (%),Total (%),,Academe/Universities (#),Accounting/ Auditing (#),Advertising and PR (#),"Agriculture and forestry, fishing (#)",Airlines (#),"Arts (Photography, Theater, etc) (#)",Automotives / Cars (#),Banking / Investment (#),BPO (#),Building and Construction Trade (#),Call Center (#),Church / Ministry (#),Computer and I.T. (#),Consultancy (except Marketing Consultancy) (#),Corporate Foundation (#),Development (#),E-commerce (#),Energy/ Oil / Petrochemicals (#),Events Management (#),Family Business (#),Fashion/Clothing/RTW (#),Finance (#),"Food, semi-luxury food, and beverage industry (#)",Gaming and Casino (#),Government/ Gen. Public Administration (#),Hotel/Restaurant (#),Housing (#),"HR (Executive Search, HR Consultancy) (#)",Insurance (#),International Organizations (#),Law/Legal (#),Mall Management (#),Manufacturing - Beauty and Cosmetics (#),Manufacturing - Consumer Goods (#),Manufacturing - Pharmaceuticals (#),Maritime (#),Marketing Consultancy (#),Media - Film/TV (#),Media - Online (#),Media - Print / Publishing (#),Media - Radio (#),Medicine/Health System (#),NGO (#),Own Business (Entrepreneurship) (#),Plastics/rubber/asbestos manufacturing (#),"Precision mechanics, optics, toy industry and jewellry (#)",Product Development (#),Professional - Entertainment/Music/Showbiz (#),Professional - Sports / Sports and Recreation (#),Real Estate (#),Research (#),Shipping / Logistics (#),Supply Chain (#),Telecommunications (#),Trade (wholesale trade and retail trade) (#),"Trade and commercial associations, parties (#)",Transport (#),Travel (#),Utilities (#),Others (#),,Respondents (%),MNC (%),Big Local Corp. (%),Small/Medium Local Corp. (%),Total (%),,MNC (#),Big Local Corp. (#),Small/Medium Local Corp. (#),,Respondents (%),Academe: Non-Teaching (%),Academe: Teaching (%),Administrative (%),Advertising and/or Production (%),Analytics (%),"Creatives/ graphic design, communication and PR (%)",Corporate Development (%),Compliance (%),Engineering (%),Finance/Accounting (%),Gaming (%),General Management (%),Graphic Design and/or Creatives (%),Healthcare (%),HR (%),Internal Audit (%),"IT (including Project Management, Programming, etc.) (%)",Legal (%),Market Research (%),Marketing and sales/ accounts (%),Merchandising (%),Operations (%),Precision Agriculture (%),Professional Athelete (%),Purchasing / Merchandising / Buying / Procurement (%),Research and Development (%),Supply Chain/Operations (%),Other (%),Total (%),,Academe: Non-Teaching (#),Academe: Teaching (#),Administrative (#),Advertising and/or Production (#),Analytics (#),"Creatives/ graphic design, communication and PR (#)",Corporate Development (#),Compliance (#),Engineering (#),Finance/Accounting (#),Gaming (#),General Management (#),Graphic Design and/or Creatives (#),Healthcare (#),HR (#),Internal Audit (#),"IT (including Project Management, Programming, etc.) (#)",Legal (#),Market Research (#),Marketing and sales/ accounts (#),Merchandising (#),Operations (#),Precision Agriculture (#),Professional Athelete (#),Purchasing / Merchandising / Buying / Procurement (#),Research and Development (#),Supply Chain/Operations (#),Other (#),,Respondents (%),"P0-P5,000 (%)","P5,001-P10,000 (%)","P10,000-P20,000 (%)","P20,001-P30,000 (%)","P30,001-P50,000 (%)","P50,001-P100,000 (%)","Above P100,000 (%)",Total (%),,"P0-P5,000 (#)","P5,001-P10,000 (#)","P10,000-P20,000 (#)","P20,001-P30,000 (#)","P30,001-P50,000 (#)","P50,001-P100,000 (#)","Above P100,000 (#)",,Respondents (%),AB / BS / Associate Degree / Diploma / Bachelors (%),Aviation (%),CFA / Treasury Certificate (%),Dentistry (%),JD / LLB / JD - MBA (%),Language/Foreign Language Studies (%),MA / MFA / MS / M Applied Math (%),MBA (%),MD / MD-MBA / MD-MPH (%),Ph.D.  (%),Others (%),Total (%),,AB / BS / Associate Degree / Diploma / Bachelors (#),Aviation (#),CFA / Treasury Certificate (#),Dentistry (#),JD / LLB / JD - MBA (#),Language/Foreign Language Studies (#),MA / MFA / MS / M Applied Math (#),MBA (#),MD / MD-MBA / MD-MPH (#),Ph.D.  (#),Others (#)
AB Humanities,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,,0,0,1,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,1,0,0,0,0,0,0,0,0,0,0
AB Interdisciplinary Studies,36,0.58,0.06,0.22,0.00,0.08,0.03,0.03,1.00,,21,2,8,0,3,1,1,,11.00,0.09,0.45,0.09,0.00,0.09,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,3,16,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,15,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.13,0.07,0.00,0.07,0.00,0.00,1.00,,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,2,0,0,,15,0.27,0.40,0.33,1.00,,10,14,12,,15,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,0,2,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,,15,0.00,0.00,0.33,0.33,0.27,0.07,0.00,1.00,,0,0,12,12,10,2,0,,9,0.22,0.22,0.00,0.00,0.22,0.11,0.22,0.00,0.00,0.00,0.00,1.00,,8,8,0,0,8,4,8,0,0,0,0
AB Lit. (Eng.),7,0.43,0.14,0.43,0.00,0.00,0.00,0.00,1.00,,3,1,3,0,0,0,0,,3.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0.00,0.00,1.00,1.00,,0,0,7,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0
AB Philo.,8,0.63,0.25,0.13,0.00,0.00,0.00,0.00,1.00,,5,2,1,0,0,0,0,,7.00,0.57,0.00,0.14,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,0.14,0.43,0.43,1.00,,1,3,3,,7,0.00,0.43,0.14,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,7,0.00,0.00,0.43,0.43,0.00,0.14,0.00,1.00,,0,0,3,3,0,1,0,,1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,,0,0,0,0,0,0,8,0,0,0,0
AB Philo (Pre-Divinity),1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,,0,0,1,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0,0,0,0,0,0,,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,0,0,0,0,1,0,0,0,0,0,0
BFA Art Management,3,0.67,0.00,0.33,0.00,0.00,0.00,0.00,1.00,,2,0,1,0,0,0,0,,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0.00,1.00,0.00,1.00,,0,3,0,,1,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,,0,0,3,0,0,0,0,,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,,0,0,0,0,0,0,0,0,3,0,0
